class,class_name,,,,,
503,Record receiver having plural leaves ,,,,,
504,Plant protecting compositions,,,,,
505,Superconductor technology,,,,,
508,Solid anti-friction devices,,,,,
510,Cleaning auxiliary compositions ,,,,,
512,Perfume compositions,,,,,
514,"Drug, bio-affecting and body treating compositions",,,,,
516,Colloid systems and wetting agents,,,,,
518,Fischer-Tropsch processes,,,,,
520,Synthetic resins,,,,,
521,Part of the class 520 series-synthetic resins or natural rubbers,,,,,
522,Part of the class 520 series-synthetic resins or natural rubbers,,,,,
523,Part of the class 520 series-synthetic resins or natural rubbers,,,,,
524,Part of the class 520 series-synthetic resins or natural rubbers,,,,,
525,Part of the class 520 series-synthetic resins,,,,,
526,Part of the class 520 series-synthetic resins or natural rubbers,,,,,
527,Part of the class 520 series-synthetic resins or natural rubbers,,,,,
528,Part of the class 520 series-synthetic resins,,,,,
530,"Chemistry, peptides or proteins; lignins or reaction products thereof",,,,,
534,Part of the class 532-570 series-organic compounds,,,,,
536,Part of the class 532-570 series-organic compounds,,,,,
540,Part of the class 532-570 series-organic compounds,,,,,
544,Part of the class 532-570 series-organic compounds,,,,,
546,Part of the class 532-570 series-organic compounds,,,,,
548,Part of the class 532-570 series-organic compounds,,,,,
549,Part of the class 532-570 series-organic compounds,,,,,
552,Part of the class 532-570 series-organic compounds,,,,,
554,Part of the class 532-570 series-organic compounds,,,,,
556,Part of the class 532-570 series-organic compounds,,,,,
558,Part of the class 532-570 series-organic compounds,,,,,
560,Part of the class 532-570 series-organic compounds,,,,,
562,Part of the class 532-570 series-organic compounds,,,,,
564,Part of the class 532-570 series-organic compounds,,,,,
568,Part of the class 532-570 series-organic compounds,,,,,
570,Part of the class 532-570 series-organic compounds,,,,,
585,"Chemistry, hydrocarbons",,,,,
588,Hazardous waste destruction,,,,,
600,Surgery,,,,,
601,Surgery: kinesitherapy,,,,,
602,"Surgery: splint, brace, or bandage ",,,,,
604,Surgery,,,,,
606,Surgery,,,,,
607,"Surgery: light, thermal",,,,,
623,Prosthesis,,,,,
700,Data processing: generic control systems or specific applications,,,,,
701,"Data processing - vehicles, navigation and relative location",,,,,
702,"Data processing: measuring, calibrating, or testing",,,,,
703,"Data processing: structural design, modeling, simulation, and emulation",,,,,
705,"Data processing: financial, business practice, management,",,,,,
706,Data processing - artificial intelligence,,,,,
707,Data processing: database and file management or data structures,,,,,
708,Electrical computers: arithmetic processing and calculating,,,,,
709,Electrical computers and digital processing systems:,,,,,
710,Electrical computers and digital data processing systems: input/output,,,,,
711,Electrical computers and digital processing systems: memory,,,,,
718,Electrical computers and digital processing systems: virtual machine task,,,,,
719,Electrical computers and digital processing systems: interprogram,,,,,
725,Interactive video distribution systems,,,,,
800,Multicellular living organisms ,,,,,
901,Robots,,,,,
902,Electronic funds transfer,,,,,
930,Peptide or protein sequence,,,,,
935,Genetic engineering,,,,,
976,Nuclear technology,,,,,
987,Organic compounds ,,,,,
